brand_name,brand_freq,snowdrop_name,address_norm,country,city,website,website_match,target,calculated_weights,split
Coca-Cola,30,Coca-Cola,9313 First St,Australia,Perth,,0.0,not_verified,1.147,TRAIN
Elite Food,3,Premium Elite Food,5987 Second Ave,Canada,Toronto,www.elitefood.net,0.851,verified,2.192,TRAIN
Elite Health,5,Elite Health Shop,2831 Hill Rd,UK,Glasgow,,0.0,verified,1.916,TRAIN
UniqueShop084,1,UniqueShop084 Outlet,7718 Hill Rd,UK,,www.uniqueshop084.com,0.871,verified,2.403,TEST
UltraHub,2,UltraHub Online,1196 Main St,Canada,Montreal,www.ultrahub.org,0.935,verified,2.497,TRAIN
Nike,31,Nike,9624 Main St,UK,London,,0.0,verified,1.07,VALIDATE
Sony,19,Sony,226 Park Rd,Australia,Melbourne,www.sony.de,0.813,verified,1.106,TEST
Spotify,18,Spotify,3535 Main St,France,Marseille,www.spotify.org,0.842,verified,1.759,TRAIN
Toyota,20,Toyota Shop,991 Hill Rd,Germany,Cologne,www.toyota.de,0.962,verified,1.726,TRAIN
UniqueShop061,1,UniqueShop061 Direct,6521 Second Ave,Germany,Berlin,,0.0,not_verified,2.208,TRAIN
Dell,18,Dell Market,4694 Market St,USA,,www.dell.co.uk,0.829,verified,1.535,TRAIN
Apple,26,Apple Market,8210 Hill Rd,Canada,Toronto,www.apple.com,0.869,verified,0.967,TRAIN
Adidas,5,Best Adidas,6807 First St,Australia,Adelaide,www.adidas.net,0.973,verified,2.094,TRAIN
H&M,13,H&M Shop,6591 Main St,Australia,Brisbane,,0.0,not_verified,1.129,TRAIN
Samsung,27,Samsung Direct,8792 Second Ave,Australia,Brisbane,,0.0,verified,1.021,TRAIN
SuperLab,2,Top SuperLab,2502 Park Rd,France,Nice,www.superlab.com,0.831,verified,1.71,TRAIN
ProGroup,1,ProGroup Direct,1370 Park Rd,France,Lyon,www.progroup.co.uk,0.817,not_verified,2.025,TRAIN
Pro Fashion,6,Pro Fashion Shop,1295 Second Ave,Germany,Stuttgart,www.profashion.fr,0.897,verified,1.624,TRAIN
MaxHub,5,MaxHub Online,,Germany,Hamburg,www.maxhub.com,0.86,verified,1.761,TEST
DigitalSystems,3,DigitalSystems Official,3330 Hill Rd,France,Nantes,www.digitalsystems.com,0.913,not_verified,2.067,TRAIN
Adobe,21,Adobe Direct,2546 Second Ave,USA,Phoenix,www.adobe.co.uk,0.961,verified,1.094,TRAIN
Coca-Cola,30,Coca-Cola Market,5354 First St,Canada,Calgary,www.coca-cola.com,0.827,verified,0.995,TRAIN
Microsoft,18,Microsoft,9609 Market St,UK,Liverpool,www.microsoft.com,0.916,verified,1.209,TRAIN
Smart Games,6,Smart Games Official,1084 Park Rd,Germany,Hamburg,www.smartgames.co.uk,0.901,verified,1.479,TRAIN
Pro Fashion,6,Pro Fashion Market,7168 Market St,Canada,Calgary,www.profashion.co.uk,0.829,verified,1.231,TRAIN
Intel,12,Authentic Intel,3910 Main St,Germany,Frankfurt,www.intel.net,0.925,verified,1.397,TRAIN
Adobe,21,Adobe,,USA,Phoenix,www.adobe.fr,0.855,verified,1.094,VALIDATE
EliteHub,1,EliteHub Direct,,UK,Glasgow,www.elitehub.de,0.898,verified,2.585,VALIDATE
Digital Fashion,8,Digital Fashion Direct,4006 Main St,UK,Manchester,www.digitalfashion.de,0.816,not_verified,1.14,TRAIN
Tech Food,4,Tech_Food,7119 Main St,USA,Phoenix,www.techfood.fr,0.892,verified,1.591,TRAIN
McDonald's,18,McDonald's Store,7429 Second Ave,Australia,Brisbane,www.mcdonalds.fr,0.861,verified,1.44,TRAIN
ProInc,3,ProInc Online,9976 Main St,UK,Manchester,,0.0,not_verified,2.021,TRAIN
Coca-Cola,30,Coca-Cola Official,5068 Market St,UK,Manchester,www.coca-cola.fr,0.964,verified,0.879,TRAIN
Target,13,Target,2878 Main St,Canada,Ottawa,www.target.co.uk,0.811,verified,1.689,TRAIN
Coca-Cola,30,Coca-Cola Market,208 Market St,Australia,Sydney,www.coca-cola.de,0.884,verified,1.156,VALIDATE
Toyota,20,Toyota Official,2249 Market St,Australia,Melbourne,www.toyota.org,0.892,verified,1.648,TRAIN
Nike,31,Nike,186 Oak Ave,Germany,Hamburg,www.nike.org,0.945,verified,1.1,VALIDATE
Oracle,21,Oracle Outlet,8134 Park Rd,Australia,Sydney,,0.0,not_verified,1.029,TRAIN
Pro Fashion,6,Pro_Fashion,8569 Second Ave,Germany,Stuttgart,www.profashion.org,0.915,verified,1.215,VALIDATE
Digital Travel,12,Digital Travel,4248 Oak Ave,Germany,Cologne,www.digitaltravel.net,0.933,verified,1.197,TRAIN
UniqueShop023,1,UniqueShop023 Market,6093 Oak Ave,UK,Liverpool,www.uniqueshop023.fr,0.955,verified,2.555,TRAIN
Smart Home,9,Smart Home Shop,4404 Market St,UK,Bristol,www.smarthome.fr,0.972,verified,1.341,TRAIN
Elite Music,12,Elite Music Online,1935 Hill Rd,Germany,Berlin,www.elitemusic.de,0.863,verified,1.065,TRAIN
Netflix,26,Netflix Shop,481 Park Rd,UK,London,www.netflix.com,0.908,verified,0.869,TRAIN
SuperSystems,2,Authentic SuperSystems,7035 Park Rd,UK,Liverpool,www.supersystems.co.uk,0.968,verified,1.714,VALIDATE
SuperHub,6,SuperHub Outlet,8583 Main St,France,Lyon,,0.0,verified,1.32,TRAIN
Microsoft,18,Microsoft,4309 Market St,UK,Bristol,www.microsoft.de,0.998,verified,1.011,VALIDATE
Max Music,5,Max Music Store,9448 Market St,France,Paris,www.maxmusic.net,0.978,verified,2.169,TEST
MaxInc,3,MaxInc,,France,Lyon,www.maxinc.com,0.874,not_verified,2.433,VALIDATE
Dell,18,Dell,,USA,Los Angeles,www.dell.fr,0.839,verified,1.123,TRAIN
UniqueShop025,1,UniqueShop025 Market,1263 First St,Canada,Vancouver,,0.0,not_verified,2.459,TRAIN
Global Food,8,Global Food Direct,7458 Second Ave,France,Toulouse,,0.898,verified,1.53,TEST
EliteSystems,2,EliteSystems Online,5901 Main St,France,Nice,,0.0,not_verified,2.432,TRAIN
UltraLtd,7,UltraLtd Shop,8186 Hill Rd,Australia,Sydney,www.ultraltd.com,0.948,not_verified,1.576,TRAIN
Digital Travel,12,Digital Travel Online,9288 Oak Ave,Australia,Gold Coast,www.digitaltravel.co.uk,0.899,verified,1.704,TRAIN
Sony,19,Sony Outlet,,Australia,Brisbane,,0.0,verified,1.185,TRAIN
Pepsi,34,Pepsi Online,6025 Oak Ave,USA,Los Angeles,www.pepsi.org,0.897,verified,0.902,TRAIN
Max Auto,6,Max Auto Market,,Germany,Frankfurt,,0.0,verified,1.111,VALIDATE
Pepsi,34,Pepsi,4180 Hill Rd,Germany,Cologne,www.pepsi.fr,0.968,verified,1.0,TRAIN
Dell,18,Dell Shop,1686 Second Ave,UK,Manchester,www.dell.fr,0.872,verified,1.191,TEST
Apple,26,Apple Outlet,1890 Oak Ave,Germany,Frankfurt,,0.0,not_verified,1.104,TRAIN
Nike,31,Nike Direct,8337 Main St,UK,Liverpool,www.nike.fr,0.972,verified,0.964,TRAIN
Zara,23,Zara,722 Hill Rd,UK,Liverpool,,0.0,verified,1.191,TRAIN
HP,15,HP Market,202 Oak Ave,Australia,Adelaide,www.hp.co.uk,0.881,verified,1.748,TRAIN
Global Music,6,Global Music Online,754 First St,Canada,Vancouver,www.globalmusic.co.uk,0.866,verified,1.626,VALIDATE
DigitalInc,2,DigitalInc Direct,5964 First St,Australia,Gold Coast,www.digitalinc.net,0.891,not_verified,2.192,TRAIN
Nike,31,Nike Shop,2459 Oak Ave,Canada,Calgary,,0.0,not_verified,0.957,TRAIN
UniqueShop090,1,UniqueShop090 Market,580 Second Ave,France,Nice,www.uniqueshop090.net,0.952,verified,2.672,TEST
Digital Travel,12,Digital_Travel,6871 Oak Ave,USA,,www.digitaltravel.net,0.825,verified,1.46,TRAIN
Pro Fashion,6,Pro Fashion Direct,5273 Oak Ave,Germany,Cologne,www.profashion.de,0.839,verified,1.404,TRAIN
Oracle,21,Oracle Direct,6820 Market St,UK,London,www.oracle.org,0.99,verified,0.971,TRAIN
Google,15,Google Official,5242 Park Rd,USA,Los Angeles,www.google.org,0.835,verified,1.596,TRAIN
Max Auto,6,Max Auto Market,,France,Nice,www.maxauto.co.uk,0.914,verified,1.324,TRAIN
McDonald's,18,Best McDonald's,1277 Second Ave,Australia,Perth,www.mcdonalds.net,0.916,verified,1.159,TRAIN
Smart Beauty,6,SmartBeauty,6109 Main St,UK,Liverpool,www.smartbeauty.fr,0.898,not_verified,1.727,TEST
Pro Health,8,Pro Health Official,8226 Market St,USA,Los Angeles,www.prohealth.fr,0.929,verified,1.601,TRAIN
Ultra Home,8,Ultra Home Official,863 Oak Ave,Germany,Frankfurt,www.ultrahome.org,0.846,not_verified,1.677,TRAIN
Adobe,21,Adobe Outlet,3657 Hill Rd,France,Paris,,0.0,verified,1.183,TRAIN
Samsung,27,Samsung Official,8451 Main St,France,Nice,www.samsung.org,0.911,verified,0.936,TRAIN
Mercedes,17,Mercedes Official,,USA,New York,www.mercedes.co.uk,0.874,verified,1.389,TRAIN
UltraCorp,5,UltraCorp Outlet,6569 Main St,Germany,Stuttgart,www.ultracorp.co.uk,0.932,verified,1.749,TEST
TechCorp,2,TechCorp Market,7621 Hill Rd,UK,Liverpool,www.techcorp.com,0.828,verified,2.309,TRAIN
Elite Music,12,Elite Music Direct,4626 Hill Rd,France,Paris,,0.914,not_verified,1.242,TEST
Pepsi,34,Quality Pepsi,5091 Park Rd,Australia,Gold Coast,,0.0,not_verified,1.143,VALIDATE
H&M,13,Premium H&M,1416 Second Ave,Germany,Frankfurt,,0.0,not_verified,1.117,VALIDATE
Pepsi,34,Pepsi Official,7484 Main St,Germany,Hamburg,www.pepsi.co.uk,0.837,verified,1.178,VALIDATE
Samsung,27,Samsung Official,6045 Oak Ave,USA,Philadelphia,www.samsung.com,0.856,verified,0.933,TRAIN
UniqueShop024,1,UniqueShop024 Store,4778 Second Ave,France,Toulouse,www.uniqueshop024.org,0.844,verified,2.646,TRAIN
Ford,24,Ford,4980 Market St,UK,Glasgow,www.ford.co.uk,0.837,verified,0.848,TRAIN
Samsung,27,Original Samsung,3975 First St,Germany,Hamburg,www.samsung.co.uk,0.965,verified,1.121,TRAIN
Samsung,27,Samsung Online,6034 Second Ave,France,Nantes,www.samsung.net,0.857,verified,0.855,TRAIN
BMW,5,BMW,8084 Hill Rd,Australia,Adelaide,www.bmw.org,0.985,not_verified,1.829,TRAIN
UniqueShop042,1,Authentic UniqueShop042,3202 Market St,USA,Houston,,0.0,not_verified,2.752,TRAIN
UniqueShop011,1,UniqueShop011 Direct,,UK,Birmingham,www.uniqueshop011.org,0.994,not_verified,2.946,VALIDATE
Coca-Cola,30,Authentic Coca-Cola,4017 Oak Ave,Germany,Munich,www.coca-cola.de,0.914,verified,1.143,TRAIN
Adobe,21,Adobe,,USA,Chicago,,0.0,verified,1.082,TRAIN
Pepsi,34,Pepsi Official,105 First St,France,Nice,www.pepsi.de,0.829,verified,1.071,VALIDATE
PrimeWorks,3,PrimeWorks,,Germany,Hamburg,www.primeworks.net,0.875,verified,2.373,TRAIN
Intel,12,Intel Official,8873 Park Rd,UK,London,www.intel.de,0.96,verified,1.043,TRAIN
Starbucks,20,Starbucks,158 Park Rd,Australia,Gold Coast,www.starbucks.com,0.873,verified,1.38,TEST
Target,13,The Target,24 Hill Rd,USA,Phoenix,www.target.co.uk,0.817,not_verified,1.307,TEST
Zara,23,Premium Zara,,France,Paris,www.zara.fr,0.911,verified,1.135,TRAIN
Super Auto,6,Super Auto Market,6165 Hill Rd,France,Paris,www.superauto.com,0.969,verified,1.151,TEST
UniqueShop033,1,Original UniqueShop033,5039 Main St,Germany,Stuttgart,www.uniqueshop033.org,0.959,not_verified,2.511,TEST
SuperWorks,2,SuperWorks Official,3362 Second Ave,UK,Bristol,,0.0,not_verified,1.961,VALIDATE
Ford,24,Ford,,Canada,Calgary,www.ford.de,0.835,verified,1.132,VALIDATE
Digital Beauty,10,Digital Beauty Market,3903 First St,Canada,Toronto,www.digitalbeauty.fr,0.935,verified,1.084,TRAIN
UniqueShop050,1,UniqueShop050 Outlet,8062 Main St,UK,Glasgow,www.uniqueshop050.com,0.844,not_verified,2.671,TEST
Toyota,20,Toyota Outlet,2333 Market St,Australia,Adelaide,www.toyota.org,0.844,verified,1.29,TRAIN
SmartZone,2,SmartZone Official,4585 Main St,Canada,Montreal,www.smartzone.de,0.975,not_verified,2.225,VALIDATE
Puma,15,Puma Official,720 Oak Ave,France,Toulouse,www.puma.co.uk,0.85,verified,1.326,TEST
Adidas,5,Adidas Shop,8516 First St,France,Marseille,www.adidas.co.uk,0.853,not_verified,1.547,TRAIN
TechSystems,2,TechSystems,6103 First St,France,Marseille,www.techsystems.de,0.8,not_verified,2.179,TRAIN
Elite Travel,8,Top Elite Travel,1392 Second Ave,Australia,Perth,www.elitetravel.co.uk,0.974,verified,1.216,TEST
Coca-Cola,30,Coca-Cola Outlet,1566 Second Ave,UK,Glasgow,www.coca-cola.net,0.959,verified,1.177,TEST
SuperHub,6,SuperHub Outlet,2188 Market St,France,Nice,www.superhub.de,0.925,verified,1.62,TEST
Spotify,18,Spotify,6462 Main St,Germany,Munich,www.spotify.net,0.95,verified,1.111,TRAIN
Max Books,3,Max Books Outlet,9698 Second Ave,Canada,Ottawa,,0.0,verified,2.044,TRAIN
UniqueShop000,1,Original UniqueShop000,1021 First St,France,Toulouse,www.uniqueshop000.de,0.83,not_verified,2.369,TRAIN
PrimeInc,3,PrimeInc Outlet,2142 Oak Ave,Canada,Montreal,www.primeinc.net,0.892,verified,1.844,TRAIN
Toyota,20,Toyota,4779 Park Rd,France,Marseille,www.toyota.co.uk,0.87,verified,1.353,TEST
Adobe,21,Adobe,5162 Hill Rd,Australia,Perth,www.adobe.co.uk,0.819,verified,1.002,TRAIN
GlobalSystems,3,GlobalSystems Online,6439 Market St,Australia,Melbourne,www.globalsystems.com,0.897,verified,1.638,TRAIN
ProSystems,1,ProSystems Direct,5346 Park Rd,Australia,Sydney,www.prosystems.org,0.984,not_verified,2.25,VALIDATE
Dell,18,Original Dell,7418 Park Rd,Australia,Melbourne,,0.0,verified,1.531,TRAIN
Google,15,Google,3828 Main St,Germany,Stuttgart,www.google.net,0.808,verified,1.332,TRAIN
Intel,12,Intel Store,3322 Oak Ave,UK,London,www.intel.fr,0.858,verified,1.628,TRAIN
Zara,23,Zara Shop,,UK,Liverpool,www.zara.de,0.842,verified,1.128,TRAIN
UltraLab,2,The UltraLab,9580 Main St,Germany,Hamburg,,0.0,not_verified,1.919,TEST
Pepsi,34,Pepsi Shop,2547 Main St,France,Nice,,0.0,verified,0.903,TRAIN
Ultra Home,8,Ultra-Home,2694 First St,Australia,Gold Coast,www.ultrahome.co.uk,0.848,not_verified,1.41,TEST
Digital Books,15,Digital_Books,7636 Park Rd,Australia,Sydney,www.digitalbooks.co.uk,0.982,verified,1.477,TRAIN
Netflix,26,Netflix Market,6661 Main St,UK,Glasgow,www.netflix.de,0.894,not_verified,0.974,TRAIN
Coca-Cola,30,Coca-Cola Market,8781 Park Rd,Australia,Sydney,,0.0,not_verified,0.938,TRAIN
Max Auto,6,Max_Auto,3402 First St,USA,Los Angeles,www.maxauto.org,0.893,verified,1.163,TRAIN
Netflix,26,Netflix Outlet,5052 First St,Germany,Frankfurt,www.netflix.de,0.952,verified,0.888,TRAIN
Tech Books,4,Authentic Tech Books,4342 Hill Rd,Germany,Berlin,,0.0,verified,2.415,TRAIN
Pepsi,34,Pepsi Official,1965 Main St,USA,Chicago,,0.0,not_verified,1.097,TRAIN
PrimeSolutions,2,PrimeSolutions Direct,2583 Hill Rd,UK,Birmingham,www.primesolutions.fr,0.831,verified,1.62,TRAIN
HP,15,HP Official,4985 Hill Rd,USA,Phoenix,www.hp.net,0.897,verified,1.579,TEST
Tech Home,6,Tech Home,9885 Main St,USA,Philadelphia,www.techhome.net,0.886,not_verified,1.344,VALIDATE
ProCorp,2,ProCorp Store,3523 Hill Rd,Germany,Cologne,www.procorp.fr,0.919,verified,2.012,TRAIN
Mercedes,17,Mercedes Outlet,5371 Oak Ave,France,Nantes,www.mercedes.fr,1.0,verified,1.3,TEST
UniqueShop056,1,UniqueShop056,1495 Market St,France,Marseille,,0.0,not_verified,2.719,TRAIN
Netflix,26,Netflix,4067 Park Rd,Australia,Adelaide,www.netflix.com,0.954,verified,0.814,TRAIN
Netflix,26,Quality Netflix,6493 Second Ave,USA,Los Angeles,www.netflix.fr,0.88,not_verified,0.893,VALIDATE
Toyota,20,Toyota Shop,,Australia,Perth,www.toyota.fr,0.966,verified,1.152,TRAIN
Mercedes,17,The Mercedes,,Germany,Berlin,www.mercedes.de,0.834,verified,1.313,TRAIN
Adidas,5,Authentic Adidas,803 Market St,UK,Bristol,www.adidas.co.uk,0.806,not_verified,1.841,TRAIN
Samsung,27,Quality Samsung,4897 Park Rd,France,Marseille,www.samsung.com,0.841,verified,1.07,VALIDATE
Adobe,21,Adobe,2849 Main St,UK,London,www.adobe.de,0.868,verified,1.145,TEST
Intel,12,Best Intel,6626 Hill Rd,France,Nice,www.intel.de,0.902,not_verified,1.008,TRAIN
Sony,19,Sony Official,7409 Second Ave,France,Nantes,www.sony.co.uk,0.923,verified,1.369,TRAIN
